FileDate,StockCode,StockName,Close,ChangePct,Volatility,Volume,Value,Frequency,High,Low,SpreadPct,AvgTradeSize,VolumeVsShares,ValueRank,DayTradingScore,Category,EntrySignal,SignalGrade,SignalStrength,SignalReason,StopLoss,Target1,Target2,RiskReward,Support7d,Resistance7d,PricePosition,MarketPhase
2026-03-05,BBCA,Bank Central Asia Tbk.,7100.0,3.272727272727273,2.5454545454545454,110258200.0,778357052500.0,31587.0,7125.0,6950.0,0.35211267605633806,24641689.6982936,0.0009034424986395803,0.9979123173277662,59.29416019228553,Momentum,BUY - AKUMULASI,B,60,NonReg 66.7% | Avg Rp25jt | Asing: NET BUY,6887.0,7313.0,7526.0,2.0,6825.0,7375.0,50.0,Trending Down
2026-03-05,BMRI,Bank Mandiri (Persero) Tbk.,5125.0,2.9116465863453818,2.5100401606425704,133690000.0,679074465000.0,19720.0,5125.0,5000.0,0.4878048780487805,34435824.797160245,0.0014468614719241066,0.9968684759916493,47.52466111837449,Momentum,BUY - AKUMULASI,C,44,NonReg 3.9% | Avg Rp34jt | Asing: NET BUY,4971.0,5279.0,5432.0,2.0,4870.0,5375.0,50.495049504950494,Trending Down
2026-03-05,NSSS,Nusantara Sawit Sejahtera Tbk.,970.0,1.5706806282722512,4.18848167539267,23457200.0,22601521500.0,2423.0,990.0,950.0,0.5154639175257731,9327908.17168799,0.0009855316828005643,0.8966597077244259,47.29512708599099,Momentum,BUY - AKUMULASI,B,56,NonReg 48.6% | Avg Rp9jt | Asing: NET BUY,941.0,999.0,1028.0,2.0,900.0,1210.0,22.58064516129032,Trending Down
2026-03-05,ATAP,Trimitra Prawara Goldland Tbk.,825.0,2.484472049689441,4.968944099378882,4372300.0,3575970500.0,563.0,840.0,800.0,0.6060606060606061,6351634.991119006,0.00349784,0.7630480167014614,46.87330220240166,Momentum,BUY - AKUMULASI,C,42,NonReg 11.4% | Avg Rp6jt | Asing: NET BUY,800.0,850.0,874.0,2.0,750.0,935.0,40.54054054054054,Trending Down
2026-03-05,ISAT,Indosat Tbk.,2240.0,2.7522935779816518,2.293577981651376,12667200.0,28283877000.0,3954.0,2260.0,2210.0,0.8928571428571428,7153231.4112291355,0.00039277151873449555,0.9050104384133612,46.38891570204795,Momentum,BUY - AKUMULASI,C,43,NonReg 78.9% | Avg Rp7jt | Asing: NET BUY,2173.0,2307.0,2374.0,2.0,2110.0,2430.0,40.625,Trending Down
2026-03-05,NISP,Bank OCBC NISP Tbk.,1495.0,1.0135135135135136,2.364864864864865,2224900.0,3348111500.0,740.0,1520.0,1485.0,0.33444816053511706,4524475.0,9.794514600186916e-05,0.7546972860125261,45.4270193601904,Momentum,HOLD,,0,,0.0,0.0,0.0,0.0,1475.0,1570.0,21.052631578947366,Trending Down
2026-03-05,BKSL,Sentul City Tbk.,122.0,5.172413793103448,4.310344827586207,319570700.0,39083947800.0,7959.0,125.0,120.0,0.819672131147541,4910660.610629476,0.0019055082636973955,0.9237995824634656,44.47216963399804,Momentum,HOLD,,0,,0.0,0.0,0.0,0.0,113.0,147.0,26.47058823529412,Trending Down
2026-03-05,TAPG,Triputra Agro Persada Tbk.,1675.0,6.687898089171974,4.777070063694268,35169700.0,58260995000.0,8148.0,1680.0,1605.0,0.2985074626865672,7150343.028964163,0.0017715466131789685,0.9384133611691023,44.409465646279145,Momentum,AVOID - OVERBOUGHT,,0,,0.0,0.0,0.0,0.0,1475.0,1690.0,93.02325581395348,Trending Up
2026-03-05,ICBP,Indofood CBP Sukses Makmur Tbk.,7475.0,0.0,3.3444816053511706,6618400.0,49514145000.0,4704.0,7650.0,7400.0,0.33444816053511706,10525966.198979592,0.0005675229130601956,0.9311064718162839,44.347387268389134,Neutral,BUY - AKUMULASI,B,48,NonReg 25.7% | Avg Rp11jt,7251.0,7699.0,7924.0,2.0,7200.0,8175.0,28.205128205128204,Trending Down
2026-03-05,SSIA,Surya Semesta Internusa Tbk.,1155.0,0.0,6.493506493506493,15332700.0,18034061000.0,2579.0,1225.0,1150.0,0.4329004329004329,6992656.455990694,0.0032586370171269817,0.8903966597077244,44.287878985071956,Neutral,BUY - AKUMULASI,B,53,NonReg 156.5% | Avg Rp7jt | Asing: NET BUY,1120.0,1190.0,1224.0,2.0,1150.0,1465.0,1.5873015873015872,Trending Down
2026-03-05,AMRT,Sumber Alfaria Trijaya Tbk.,1555.0,0.3225806451612903,6.129032258064516,34862500.0,55262972000.0,8253.0,1640.0,1545.0,0.3215434083601286,6696107.112565128,0.0008395645600245698,0.9373695198329853,42.74472430670473,Neutral,BUY - AKUMULASI,C,43,NonReg 8.4% | Avg Rp7jt | Asing: NET BUY,1508.0,1602.0,1648.0,2.0,1515.0,1815.0,13.333333333333334,Trending Down
2026-03-05,ITMG,Indo Tambangraya Megah Tbk.,25975.0,3.9,5.3,6643300.0,168398392500.0,8904.0,25975.0,24650.0,0.8662175168431183,18912667.6212938,0.005879416775449698,0.9728601252609603,41.38418370329436,Momentum,AVOID - OVERBOUGHT,,0,,0.0,0.0,0.0,0.0,22250.0,25875.0,100.0,Trending Up
2026-03-05,RLCO,Abadi Lestari Indonesia Tbk.,5900.0,0.8547008547008548,8.974358974358974,3340200.0,19758225000.0,2833.0,6300.0,5775.0,0.423728813559322,6974311.683727497,0.00534432,0.8914405010438413,41.36481076604596,Neutral,BUY - AKUMULASI,C,43,NonReg 18.7% | Avg Rp7jt | Asing: NET BUY,5723.0,6077.0,6254.0,2.0,5425.0,7950.0,18.81188118811881,Trending Down
2026-03-05,EMAS,Merdeka Gold Resources Tbk.,8475.0,4.62962962962963,4.320987654320987,14617500.0,122784475000.0,8755.0,8500.0,8150.0,0.2949852507374631,14024497.430039978,0.00198851804094634,0.965553235908142,41.21205608198209,Momentum,HOLD,,0,,0.0,0.0,0.0,0.0,7850.0,8900.0,59.523809523809526,Trending Down
2026-03-05,AADI,Adaro Andalan Indonesia Tbk.,10325.0,0.24271844660194172,4.611650485436893,19032900.0,195248667500.0,10287.0,10500.0,10025.0,0.24213075060532688,18980136.823174883,0.0024442230079232538,0.975991649269311,39.31463406318186,Neutral,BUY - AKUMULASI,B,47,NonReg 4.7% | Avg Rp19jt,10015.0,10635.0,10944.0,2.0,8900.0,10900.0,71.25,Trending Up
2026-03-05,CDIA,Chandra Daya Investasi Tbk.,895.0,0.0,6.145251396648044,53733400.0,49214507500.0,10429.0,945.0,890.0,0.5586592178770949,4719005.417585579,0.001076136842851819,0.930062630480167,36.244388267759646,Neutral,HOLD,,0,,0.0,0.0,0.0,0.0,855.0,1200.0,11.594202898550725,Trending Down
2026-03-05,MSIN,MNC Digital Entertainment Tbk.,535.0,9.183673469387756,9.183673469387756,33234200.0,16940846400.0,2371.0,535.0,490.0,0.9345794392523363,7145021.678616618,0.0005477306083404796,0.884133611691023,32.58304582417243,Momentum,HOLD,,0,,0.0,0.0,0.0,0.0,462.0,650.0,38.82978723404255,Trending Up
