date,stock,signal_type,priority,outcome,return
20250715,INCO,MOMENTUM,NORMAL,WIN-T1,2.0
20250715,SMGR,REVERSAL,NORMAL,WIN-T1,2.0
20250723,EXCL,MOMENTUM,NORMAL,EXIT-CLOSE,1.1627906976744187
20250729,INKP,REVERSAL,NORMAL,WIN-T2,3.5
20250811,ISAT,REVERSAL,NORMAL,WIN-T1,2.0
20250813,INCO,MOMENTUM,NORMAL,WIN-T1,2.0
20250813,INTP,MOMENTUM,NORMAL,LOSS,-2.0
20250815,INTP,REVERSAL,NORMAL,LOSS,-2.0
20250901,CPIN,MOMENTUM,NORMAL,EXIT-CLOSE,0.6976744186046512
20250901,UNTR,MOMENTUM,NORMAL,WIN-T2,3.5
20250902,SMGR,REVERSAL,NORMAL,WIN-T2,3.5
20250908,CPIN,MOMENTUM,NORMAL,EXIT-CLOSE,-1.1037527593818985
20250908,INKP,REVERSAL,NORMAL,LOSS,-2.0
20250912,ISAT,REVERSAL,NORMAL,EXIT-CLOSE,0.7936507936507936
20250922,ICBP,REVERSAL,NORMAL,EXIT-CLOSE,0.7792207792207793
20250924,INCO,MOMENTUM,NORMAL,WIN-T1,2.0
20250926,EXCL,MOMENTUM,NORMAL,EXIT-CLOSE,-0.3676470588235294
20250926,SMGR,REVERSAL,NORMAL,EXIT-CLOSE,1.4084507042253522
20250929,CPIN,REVERSAL,NORMAL,LOSS,-2.0
20250929,INKP,MOMENTUM,NORMAL,LOSS,-2.0
20251014,CPIN,REVERSAL,NORMAL,WIN-T2,3.5
20251015,CPIN,REVERSAL,NORMAL,WIN-T2,3.5
20251020,CPIN,REVERSAL,NORMAL,EXIT-CLOSE,-1.0121457489878543
20251022,UNTR,REVERSAL,NORMAL,EXIT-CLOSE,1.5813953488372092
20251027,CPIN,REVERSAL,NORMAL,LOSS,-2.0
20251027,JSMR,MOMENTUM,NORMAL,EXIT-CLOSE,-0.5181347150259068
20251028,ISAT,MOMENTUM,NORMAL,LOSS,-2.0
20251103,INKP,MOMENTUM,NORMAL,EXIT-CLOSE,-0.33444816053511706
20251107,INCO,REVERSAL,NORMAL,EXIT-CLOSE,-0.22172949002217296
20251126,ISAT,MOMENTUM,NORMAL,WIN-T2,3.5
20251202,INKP,REVERSAL,NORMAL,EXIT-CLOSE,1.1560693641618496
20251205,JPFA,MOMENTUM,NORMAL,LOSS,-2.0
20251219,SMGR,MOMENTUM,NORMAL,EXIT-CLOSE,1.1235955056179776
20251222,UNTR,MOMENTUM,NORMAL,EXIT-CLOSE,-0.5838198498748958
20251224,EXCL,MOMENTUM,NORMAL,WIN-T2,3.5
20251230,JPFA,REVERSAL,NORMAL,WIN-T2,3.5
20260109,INKP,REVERSAL,NORMAL,LOSS,-2.0
20260114,INKP,REVERSAL,NORMAL,LOSS,-2.0
20260121,ISAT,REVERSAL,NORMAL,WIN-T2,3.5
20260123,INKP,REVERSAL,NORMAL,LOSS,-2.0
20260123,UNTR,REVERSAL,NORMAL,EXIT-CLOSE,0.0
20260126,INKP,REVERSAL,NORMAL,EXIT-CLOSE,0.2380952380952381
20260202,CPIN,MOMENTUM,NORMAL,LOSS,-2.0
20260204,SMGR,MOMENTUM,NORMAL,WIN-T1,2.0
